[2022-07-02 18:50:14,525] [INFO] Watching for file changes with StatReloader
[2022-07-02 18:50:47,847] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 18:51:03,126] [INFO] Watching for file changes with StatReloader
[2022-07-02 18:51:29,923] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 18:51:29,947] [INFO] "GET /static/css/app.0feb4402.css HTTP/1.1" 304 0
[2022-07-02 18:51:29,947] [INFO] "GET /static/js/app.7885c21f.js HTTP/1.1" 304 0
[2022-07-02 18:51:29,948] [INFO] "GET /static/css/chunk-vendors.dd50ba92.css HTTP/1.1" 304 0
[2022-07-02 18:51:29,949] [INFO] "GET /static/js/chunk-vendors.978f4292.js HTTP/1.1" 304 0
[2022-07-02 18:51:30,018] [INFO] "GET /static/fonts/element-icons.535877f5.woff HTTP/1.1" 304 0
[2022-07-02 18:51:30,023] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 18:51:30,033] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 18:51:31,180] [INFO] "GET /get_project_list/ HTTP/1.1" 200 442
[2022-07-02 18:51:35,920] [INFO] "GET /get_env_list/ HTTP/1.1" 200 149
[2022-07-02 18:51:36,572] [INFO] "GET /get_project_list/ HTTP/1.1" 200 442
[2022-07-02 18:51:42,819] [INFO] "GET /get_env_list/ HTTP/1.1" 200 149
[2022-07-02 18:51:43,385] [INFO] "GET /get_api_shop_list/ HTTP/1.1" 200 318
[2022-07-02 18:51:44,830] [INFO] "GET /get_env_list/ HTTP/1.1" 200 149
[2022-07-02 18:51:45,183] [INFO] "GET /get_project_list/ HTTP/1.1" 200 442
[2022-07-02 18:53:10,018] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 18:53:42,021] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 18:53:42,405] [INFO] Watching for file changes with StatReloader
[2022-07-02 18:53:49,758] [INFO] zhangsan2 刚刚进入了帮助页面
[2022-07-02 18:53:49,763] [INFO] "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 18:54:25,391] [INFO] /Users/wangzijia/Api_project/Api_project/settings.py changed, reloading.
[2022-07-02 18:54:25,898] [INFO]==== Watching for file changes with StatReloader
[2022-07-02 18:54:28,419] [INFO]==== zhangsan2 刚刚进入了帮助页面
[2022-07-02 18:54:28,421] [INFO]==== "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 18:54:29,490] [INFO]==== "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 18:54:29,582] [INFO]==== "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 18:54:29,596] [INFO]==== "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 18:54:30,952] [INFO]==== zhangsan2 刚刚进入了帮助页面
[2022-07-02 18:54:30,954] [INFO]==== "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 18:55:02,718] [INFO]==== /Users/wangzijia/Api_project/Api_project/settings.py changed, reloading.
[2022-07-02 18:55:03,203] [INFO] Watching for file changes with StatReloader
[2022-07-02 18:55:05,017] [WARNING] zhangsan2 刚刚进入了帮助页面
[2022-07-02 18:55:05,022] [INFO] "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 18:55:06,406] [INFO] "GET /index/ HTTP/1.1" 200 1027
[2022-07-02 18:55:06,485] [INFO] "GET /get_real_time_datas/ HTTP/1.1" 200 86
[2022-07-02 18:55:06,499] [INFO] "GET /get_tj_datas/ HTTP/1.1" 200 1236
[2022-07-02 18:55:07,951] [WARNING] zhangsan2 刚刚进入了帮助页面
[2022-07-02 18:55:07,953] [INFO] "GET /help/ HTTP/1.1" 200 7741
[2022-07-02 18:55:32,995] [INFO] /Users/wangzijia/Api_project/Api_app/views.py changed, reloading.
[2022-07-02 18:55:33,460] [INFO] Watching for file changes with StatReloader
